file_id,dataset,class,original_filename,original_path,processed_path,original_sample_rate,target_sample_rate,original_duration,processed_duration,duration_category,status,processed,snr_estimate_db,dynamic_range_db,zero_crossing_rate,uuid,timestamp,version,gender,age_months,class_code,class_from_filename,participant_id,session_number,recording_number,sample_id,filename_base,suffix,is_child_indicated,has_condition_indicator,feature_extraction_success,audio_length_seconds,rms_mean,rms_std,zcr_mean,zcr_std,amplitude_modulation_depth,autocorr_peak_value,autocorr_peak_lag,temporal_centroid,silence_ratio,burst_density,amplitude_mean,amplitude_std,amplitude_skewness,amplitude_kurtosis,dynamic_range,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_flux_mean,spectral_slope_mean,spectral_skewness_mean,spectral_kurtosis_mean,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,f0_mean,f0_std,harmonicity,pitch_strength,loudness_mean,loudness_std,sharpness_mean,roughness,spectral_irregularity,tonality_coefficient,fluctuation_strength,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_sub_band,spectral_contrast_band_1,spectral_contrast_band_2,spectral_contrast_band_3,spectral_contrast_band_4,spectral_contrast_band_5,spectral_contrast_band_6,jitter,f0_range,f0_contour_slope,shimmer,f1_mean,f2_mean,f3_mean,vocal_effort
donateacry_belly_pain_0000,DonateACry,belly_pain,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0000.wav,8000,16000,6.86,6.86,medium,Success,TRUE,12.36,24.84,0.2478,549a46d8-9c84-430e-ade8-97eae2bef787,1.43013E+12,1.7,male,48,bp,belly_pain,,,,,,,,,TRUE,6.86,0.058586348,0.06910677,0.134315952,0.069195834,1.179571265,0.45860672,0.00075,0.009860332,0.320930233,1.166180758,0.045880113,0.09075065,-0.899518236,9.084046153,0.8000183,1321.730451,518.5157242,812.9806567,2203.415698,0.001999518,2480.7458,-0.000177127,8.330000078,113.0689223,-367.38132,129.71397,95.65004,47.549217,-63.33184,68.840324,4.207134,27.468264,-6.32802,9.399032,-29.352386,17.295818,5.213512,21.870401,-8.383561,16.642815,-10.064894,9.686761,2.7731838,10.131293,-6.0533357,7.456382,-5.613177,5.88971,-7.6829524,5.9144974,539.8861,188.04753,0.343123993,1.8434999,-39.48719,22.68185,0.35194,0.009196622,0.447783409,0.998000482,1.204282348,0.21441247,0.21939293,0.3567336,0.49901223,0.4620453,0.3813157,0.38175654,0.44244492,0.3273423,0.23406532,0.22331089,0.22075735,19.74340562,17.27890172,20.55124976,21.09430925,20.85740848,33.05336237,13.91497766,0.16682753,268.0492038,0.16468195,2.641401786,0,0,0,2.071948035
donateacry_belly_pain_0001,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0001.wav,8000,16000,7,7,medium,Success,TRUE,11.83,22.25,0.2068,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138495,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.07627992,0.07713656,0.11058567,0.040344638,1.011230188,0.800647378,0.00275,0.00626981,0.01369863,1,0.06151305,0.10855514,-0.059026719,8.481048868,0.8000183,1239.672101,207.7011814,952.7775675,2340.896119,0.000169573,2201.4365,-0.000261548,7.810625003,106.0666719,-222.86726,51.99617,125.54112,24.235313,-63.027397,17.686953,19.871058,11.629625,-13.328232,7.5936375,-23.814924,6.80434,2.759464,6.9460135,-29.216934,9.318521,-5.354657,6.157614,-7.787337,4.8163047,-20.873636,6.12939,0.007788601,4.5957327,-18.680187,7.1857405,356.11514,124.305336,0.74307852,5.6760964,-27.359152,10.361511,0.29119852,0.017691193,0.487522747,0.999830427,1.048107842,0.30800423,0.30099556,0.311605,0.35767862,0.42483464,0.5137961,0.531849,0.47399423,0.37968186,0.33421648,0.32066303,0.29697812,19.35442749,16.93543708,18.09203242,19.11900498,17.25937956,43.74075848,13.52424441,0.213827304,357.7260014,-0.352900076,0.653119081,0,0,0,1.192933617
donateacry_belly_pain_0002,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0002.wav,8000,16000,7,7,medium,Success,TRUE,12.79,33.19,0.2148,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138506,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.023855416,0.031079091,0.115379299,0.032101356,1.302810685,0.387493342,0.0021875,0.007845981,0,1.285714286,0.01752808,0.03920377,-0.202931877,23.69881667,0.8000183,1249.274006,199.6256851,954.4501545,2372.324486,0.000396106,400.97818,-0.000106028,6.326970876,69.96530351,-328.65448,68.843056,132.60333,21.550291,-67.29166,30.033854,14.0021715,15.822586,-21.330978,9.93284,-32.191425,11.670534,2.3495321,10.09103,-28.082857,9.632814,-7.9208198,6.865543,-8.815693,5.6933837,-22.465477,6.9668126,-0.32588705,9.037945,-13.6965275,6.3584514,437.74893,163.10812,0.155609222,1.6976724,-38.155678,9.468144,0.29878923,0.010514138,0.466551385,0.999603894,1.423467011,0.3461543,0.328875,0.45763332,0.53983796,0.44493103,0.3259217,0.32424024,0.48029283,0.3660196,0.36173514,0.35026306,0.3932801,20.32273844,15.1020297,16.38884174,16.92809514,15.99958341,38.09513369,13.43746229,0.34199865,421.7170529,1.586394235,0.170497883,0,0,0,1.296417447
donateacry_belly_pain_0003,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0003.wav,8000,16000,7,7,medium,Success,TRUE,9.67,29.84,0.2351,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138514,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.034261238,0.031572934,0.125539562,0.038720299,0.921535127,0.526945412,0.0023125,0.007372148,0,1.142857143,0.025787173,0.04661833,0.00087537,19.3579814,0.7999878,1298.598428,253.2673022,918.978549,2321.275685,0.000293595,597.7971,-0.000145761,6.149957886,64.0448442,-303.29535,53.6747,141.09418,30.231213,-83.84947,22.817375,16.375702,15.450863,-23.631784,9.176771,-33.893864,13.818044,3.6570177,8.713557,-35.680313,7.9215035,-6.6062565,6.5007124,-3.4710486,6.936125,-24.827988,6.2837358,-3.5016036,6.7963324,-15.849786,8.611917,443.43094,135.17842,0.266204892,2.57137,-33.525276,9.097196,0.30480585,0.010971827,0.452560744,0.999706405,1.012615389,0.30785447,0.30674264,0.32503948,0.37612903,0.37337703,0.39600986,0.3937959,0.48134822,0.51167166,0.48497298,0.34310466,0.29532585,18.34763323,15.54864767,18.30032727,17.77004963,16.77184222,40.17176991,13.30925757,0.212476449,550.2248087,-0.390384516,0.157401514,0,0,0,1.186133143
donateacry_belly_pain_0004,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0004.wav,8000,16000,7,7,medium,Success,TRUE,8.73,22.21,0.2071,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138524,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.08090869,0.06820878,0.112770673,0.036737984,0.843033962,0.654796004,0.002125,0.0067131,0,1.285714286,0.062183067,0.10592027,0.017230124,6.183967011,0.8000183,1239.703156,227.1583953,980.1774891,2431.578196,9.87E-05,3295.2053,-0.00031036,7.165595134,84.95078306,-213.20752,41.767338,149.03319,18.063826,-76.95222,18.45887,30.730076,10.205321,-27.036537,9.132969,-41.07727,7.8382616,0.9426077,8.182588,-37.905582,8.029612,-5.313015,6.3537226,-7.411455,5.30625,-23.883001,4.919979,3.6070998,7.4670205,-17.401989,7.212828,400.20776,128.42944,0.262575811,5.975863,-24.755453,7.1153,0.31259066,0.025409784,0.437464671,0.999901293,0.943551714,0.2785983,0.33441442,0.2967148,0.27651027,0.29881838,0.30761468,0.3321072,0.40770185,0.56892276,0.60303307,0.47395188,0.3460586,20.60453658,13.45415311,17.62295462,16.0349262,15.23380241,45.10736331,13.44433145,0.248522777,476.5124394,0.049193978,0.121714484,0,0,0,1.066297549
donateacry_belly_pain_0005,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0005.wav,8000,16000,7,7,medium,Success,TRUE,12.04,34.6,0.2911,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138536,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.018943243,0.023101127,0.158731539,0.050172356,1.219491667,0.214498758,0.001125,0.008165586,0.00456621,1.142857143,0.013873335,0.029911079,-0.179891868,27.14873863,0.8000183,1538.207348,278.1518149,1015.856304,2732.127568,0.001047486,283.9521,-7.99E-05,5.289397266,49.76222136,-377.2172,79.51323,124.58603,24.469648,-89.12221,40.00764,28.218658,15.982224,-26.1612,15.691737,-33.376972,10.098919,15.349111,16.066189,-29.533894,7.305852,-1.488723,9.366685,0.12109905,11.310784,-21.508562,9.514042,2.011504,9.577894,-14.079485,9.101457,503.9973,185.90297,0.093391982,0.93376005,-41.18422,11.185566,0.44408107,0.006441995,0.444842619,0.998952514,1.317827503,0.3057836,0.358663,0.36150023,0.46959713,0.5117487,0.5118308,0.49085394,0.4311329,0.37811098,0.41164443,0.36290312,0.3375719,16.63473803,14.93126576,18.50006701,17.36586473,16.3221267,38.42842952,13.36574893,0.233670183,553.7016333,0.505349426,0.229808795,0,0,0,1.716659809
donateacry_belly_pain_0006,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0006.wav,8000,16000,7,7,medium,Success,TRUE,10.96,23.98,0.1845,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138545,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.06566574,0.07038441,0.10018907,0.050869,1.071859029,0.827590823,0.0023125,0.007259009,0,1.142857143,0.050524354,0.09633716,-0.02166229,11.9027076,0.7999878,1207.616677,319.0871758,991.8632538,2362.978025,0.000157339,2501.422,-0.000181506,9.627633154,135.873006,-266.6376,39.798058,110.81288,16.31991,-50.19299,21.355598,20.508448,13.097139,-23.170658,9.464549,-30.091227,8.239121,-2.4610178,10.387197,-34.311443,8.727314,-10.392088,5.204244,-11.555706,6.3114347,-22.299074,5.363412,-1.3705606,7.2156777,-16.885038,9.165189,401.43744,91.109886,0.382693948,5.244218,-28.280937,9.151853,0.31012514,0.027146786,0.464738287,0.999842661,1.18566066,0.17393751,0.16087712,0.17889042,0.29447934,0.2943699,0.3494585,0.39062688,0.40561917,0.40467244,0.43021035,0.2605343,0.16690555,18.0515918,17.7491025,21.17369153,17.80446108,15.06868899,42.66806965,13.33486637,0.14216249,340.5037623,0.172928078,0.154368679,0,0,0,0.953490129
donateacry_belly_pain_0007,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138591-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138591-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0007.wav,8000,16000,7,7,medium,Success,TRUE,16.36,25.87,0.1578,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138591,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.04963644,0.09535811,0.083355629,0.035999951,1.921131203,0.936053693,0.0025,0.002344605,0.493150685,0.428571429,0.040699977,0.10756517,0.263976394,12.54746455,0.8000183,1031.831174,276.3024093,877.4192265,1921.232877,0.000593877,2411.9292,-0.000105155,9.25134389,139.2052935,-360.53403,59.39579,88.818275,28.249367,-10.195367,21.26245,-4.858435,12.211117,-13.832611,11.318955,-21.225327,13.978855,-11.67507,9.431597,-18.523184,12.270553,-15.778726,6.0957255,-11.647709,5.638609,-9.474955,6.0752983,-3.477502,6.670901,-8.596306,5.4042397,371.34146,116.45068,0.436446832,2.8252418,-40.840008,14.852598,0.22063175,0.02137797,0.488865539,0.999406123,2.014444274,0.27356076,0.36003688,0.37927547,0.33694232,0.32026818,0.31938103,0.4562833,0.37239757,0.28788856,0.3242179,0.23917893,0.2725337,18.50708002,17.40863352,17.77330834,17.28874895,15.69728598,33.52682086,13.36847937,0.09842021,154.0538933,0.182239103,0.795374381,0,0,0,0.534841901
donateacry_belly_pain_0008,DonateACry,belly_pain,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0008.wav,8000,16000,7,7,medium,Success,TRUE,9.39,22.97,0.1868,643D64AD-B711-469A-AF69-55C0D5D3E30F,1430138647,1,male,72,bp,belly_pain,,,,,,,,,TRUE,7,0.072181284,0.07002395,0.101535745,0.051425137,0.970112224,0.738746285,0.00225,0.006217697,0.04109589,1.571428571,0.056255143,0.10063339,0.076379735,8.055716992,0.7999878,1378.067053,322.7818785,1108.205294,2882.09903,0.014002995,2743.7832,-0.000197694,10.52518692,156.4058004,-266.6594,63.98126,101.570045,22.996479,-54.190533,24.123405,26.495867,15.763088,-33.8325,12.961173,-29.608461,8.979753,4.929076,9.342657,-37.34535,11.062921,-4.748221,8.967671,-8.19402,7.7288623,-23.815233,6.949806,3.662088,10.576232,-13.71027,10.698867,435.38397,109.88855,0.337578288,7.311821,-29.635975,22.454145,0.39691412,0.025290944,0.464040701,0.985997005,1.07062632,0.15844609,0.18331689,0.21691732,0.25218657,0.23647554,0.23640072,0.2910103,0.39415625,0.34089926,0.35773906,0.1848188,0.14658837,14.40728082,18.89862058,22.61954853,18.64565886,16.45384824,45.27638569,13.71755126,0.152708865,393.7051703,-0.098684828,0.632114815,0,0,0,1.184637927
donateacry_belly_pain_0009,DonateACry,belly_pain,69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\donateacry\belly_pain\69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,D:\TarunBali\infant_cry_knowledge_graph\preprocessed_audio\donateacry\donateacry_belly_pain_0009.wav,8000,16000,7,7,medium,Success,TRUE,7.44,16.94,0.2159,69BDA5D6-0276-4462-9BF7-951799563728,1436936185,1.1,male,26,bp,belly_pain,,,,,,,,,TRUE,7,0.14233895,0.10900687,0.110387236,0.037986746,0.765826005,0.718049109,0.0013125,0.007992587,0.073059361,1.428571429,0.11303392,0.17939015,-0.230932905,2.533874066,0.7999878,1279.564333,348.3769286,890.7594114,2317.494292,0.000139977,7819.4346,-0.000399777,9.123315306,121.3545159,-239.90918,85.47706,123.98391,28.748722,-74.19057,44.00874,12.404581,28.66871,-30.149704,14.811375,-28.38063,12.350354,10.002548,19.063726,-22.682114,9.604758,8.110568,10.292277,0.40012476,8.115992,-18.167074,8.429533,6.334827,10.823308,-14.497429,9.857138,621.1606,158.18707,0.596104293,14.529617,-22.520903,12.751378,0.2816504,0.02556375,0.463941546,0.999860023,0.816590379,0.21029371,0.26254535,0.24492322,0.20936966,0.2350543,0.3402099,0.49771827,0.36487353,0.2408231,0.23681742,0.27177155,0.22473472,18.52131529,20.48006215,24.04350273,22.54072169,19.19126775,45.25829439,13.41860685,0.265502001,712.6628162,0.056290364,0.208776449,0,0,0,1.304955903
